Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Introduction to Property,PROP10002,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/prop10002
Korean 6,KORE20006,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/kore20006
Korean 5,KORE30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/kore30003
Korean 5,KORE10005,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10005
Korean 6,KORE10006,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10006
Our Digital Worlds,ARTS10003,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/arts10003
Archaeoastronomy,PHYC20017,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/phyc20017
Islam and Gender,ISLM30021,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/islm30021
Environmental Sociology: Warming Planet,SOCI20020,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/soci20020
Music and Health,MUSI10237,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10237
Korean 5,KORE20005,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/kore20005
Korean 6,KORE30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/kore30004
Digital Asia,ASIA20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/asia20008
The Art and Science of Meditation,MULT10020,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/mult10020
Personality and Social Psychology,PSYC20009,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/psyc20009
Developmental Psychology,PSYC20008,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/psyc20008
Introduction to Epidemiology,POPH20002,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/poph20002
Design History & Theory in the Making,ARCH10004,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/arch10004
Energy Pathways to Net-Zero,EVSC30009,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/evsc30009
Decolonising the Landscape MultiStudio 2,AIND20013,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/aind20013
Geochemistry,GEOL30004,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geol30004
Languages at Work,LANG30001,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/lang30001
Renaissance Drama,ENGL30053,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/engl30053
"Building Earth: Rocks, Minerals, Magmas",GEOL20003,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/geol20003
Environmental Geoscience,ERTH20002,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/erth20002
Symphonic Ensembles 1 (Breadth),MUSI10235,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10235
Big Band 1 (Breadth),MUSI30277,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30277
Symphonic Ensembles 1 (Breadth),MUSI30279,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30279
Law Space: Geographies of Justice,GEOG30031,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/geog30031
Sedimentary Geology and Hydrogeology,GEOL30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geol30003
Creative Nonfiction & Multimodal Writing,CWRI10003,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/cwri10003
Big Band 2 (Breadth),MUSI30278,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30278
Symphonic Ensembles 2 (Breadth),MUSI10236,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10236
Symphonic Ensembles 2 (Breadth),MUSI30280,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/musi30280
Topics in Ethnomusicology,MUSI20217,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20217
Geobiology,GEOL30007,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/geol30007
Corruption in Asia,ASIA30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/asia30004
Video Games: Remaking Reality,CCDP10003,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/ccdp10003
Area Studies in Ethnomusicology,MUSI20218,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20218
